_id,year,month,regional_name,commod,product_name,value,unit
1,2565,1,ประเทศไทย,ไก่,ไก่รุ่นพันธุ์เนื้อ,40.7,บาท/กก.
2,2565,2,ประเทศไทย,ไก่,ไก่รุ่นพันธุ์เนื้อ,40.26,บาท/กก.
3,2565,3,ประเทศไทย,ไก่,ไก่รุ่นพันธุ์เนื้อ,40.35,บาท/กก.
4,2565,4,ประเทศไทย,ไก่,ไก่รุ่นพันธุ์เนื้อ,41.32,บาท/กก.
5,2565,5,ประเทศไทย,ไก่,ไก่รุ่นพันธุ์เนื้อ,42.65,บาท/กก.
6,2565,6,ประเทศไทย,ไก่,ไก่รุ่นพันธุ์เนื้อ,43.61,บาท/กก.
7,2565,7,ประเทศไทย,ไก่,ไก่รุ่นพันธุ์เนื้อ,47.18,บาท/กก.
8,2565,8,ประเทศไทย,ไก่,ไก่รุ่นพันธุ์เนื้อ,48.87,บาท/กก.
9,2565,9,ประเทศไทย,ไก่,ไก่รุ่นพันธุ์เนื้อ,46.87,บาท/กก.
10,2565,10,ประเทศไทย,ไก่,ไก่รุ่นพันธุ์เนื้อ,45.28,บาท/กก.
11,2565,11,ประเทศไทย,ไก่,ไก่รุ่นพันธุ์เนื้อ,45.24,บาท/กก.
12,2565,12,ประเทศไทย,ไก่,ไก่รุ่นพันธุ์เนื้อ,45.19,บาท/กก.
13,2566,1,ประเทศไทย,ไก่,ไก่รุ่นพันธุ์เนื้อ,45.14,บาท/กก.
14,2566,2,ประเทศไทย,ไก่,ไก่รุ่นพันธุ์เนื้อ,44.88,บาท/กก.
15,2566,3,ประเทศไทย,ไก่,ไก่รุ่นพันธุ์เนื้อ,44.7,บาท/กก.
16,2566,4,ประเทศไทย,ไก่,ไก่รุ่นพันธุ์เนื้อ,44.91,บาท/กก.
17,2566,5,ประเทศไทย,ไก่,ไก่รุ่นพันธุ์เนื้อ,45.23,บาท/กก.
18,2566,6,ประเทศไทย,ไก่,ไก่รุ่นพันธุ์เนื้อ,45.21,บาท/กก.
19,2566,7,ประเทศไทย,ไก่,ไก่รุ่นพันธุ์เนื้อ,44.81,บาท/กก.
20,2566,8,ประเทศไทย,ไก่,ไก่รุ่นพันธุ์เนื้อ,44.6,บาท/กก.
21,2566,9,ประเทศไทย,ไก่,ไก่รุ่นพันธุ์เนื้อ,41.63,บาท/กก.
22,2566,10,ประเทศไทย,ไก่,ไก่รุ่นพันธุ์เนื้อ,40.4,บาท/กก.
23,2566,11,ประเทศไทย,ไก่,ไก่รุ่นพันธุ์เนื้อ,40.55,บาท/กก.
24,2566,12,ประเทศไทย,ไก่,ไก่รุ่นพันธุ์เนื้อ,40.56,บาท/กก.
25,2567,1,ประเทศไทย,ไก่,ไก่รุ่นพันธุ์เนื้อ,40.15,บาท/กก.
26,2567,2,ประเทศไทย,ไก่,ไก่รุ่นพันธุ์เนื้อ,40.17,บาท/กก.
27,2567,3,ประเทศไทย,ไก่,ไก่รุ่นพันธุ์เนื้อ,40.52,บาท/กก.
28,2567,4,ประเทศไทย,ไก่,ไก่รุ่นพันธุ์เนื้อ,38.84,บาท/กก.
29,2567,5,ประเทศไทย,ไก่,ไก่รุ่นพันธุ์เนื้อ,40.92,บาท/กก.
30,2567,6,ประเทศไทย,ไก่,ไก่รุ่นพันธุ์เนื้อ,41.03,บาท/กก.
31,2567,7,ประเทศไทย,ไก่,ไก่รุ่นพันธุ์เนื้อ,41.05,บาท/กก.
32,2567,8,ประเทศไทย,ไก่,ไก่รุ่นพันธุ์เนื้อ,41.06,บาท/กก.
33,2567,9,ประเทศไทย,ไก่,ไก่รุ่นพันธุ์เนื้อ,40.94,บาท/กก.
34,2567,10,ประเทศไทย,ไก่,ไก่รุ่นพันธุ์เนื้อ,40.76,บาท/กก.
35,2567,11,ประเทศไทย,ไก่,ไก่รุ่นพันธุ์เนื้อ,40.62,บาท/กก.
36,2567,12,ประเทศไทย,ไก่,ไก่รุ่นพันธุ์เนื้อ,40.66,บาท/กก.
37,2568,1,ประเทศไทย,ไก่,ไก่รุ่นพันธุ์เนื้อ,41.02,บาท/กก.
38,2568,2,ประเทศไทย,ไก่,ไก่รุ่นพันธุ์เนื้อ,41.69,บาท/กก.
39,2568,3,ประเทศไทย,ไก่,ไก่รุ่นพันธุ์เนื้อ,42.2,บาท/กก.
40,2568,4,ประเทศไทย,ไก่,ไก่รุ่นพันธุ์เนื้อ,42.51,บาท/กก.
41,2568,5,ประเทศไทย,ไก่,ไก่รุ่นพันธุ์เนื้อ,42.27,บาท/กก.
42,2568,6,ประเทศไทย,ไก่,ไก่รุ่นพันธุ์เนื้อ,42.23,บาท/กก.
43,2568,7,ประเทศไทย,ไก่,ไก่รุ่นพันธุ์เนื้อ,42.2,บาท/กก.
44,2568,8,ประเทศไทย,ไก่,ไก่รุ่นพันธุ์เนื้อ,42.19,บาท/กก.
