_id,year,month,regional_name,commod,product_name,value,unit
1,2565,1,ประเทศไทย,ไข่ไก่,ไข่ไก่สด คละ,301,บาท/ร้อยฟอง
2,2565,2,ประเทศไทย,ไข่ไก่,ไข่ไก่สด คละ,299,บาท/ร้อยฟอง
3,2565,3,ประเทศไทย,ไข่ไก่,ไข่ไก่สด คละ,307,บาท/ร้อยฟอง
4,2565,4,ประเทศไทย,ไข่ไก่,ไข่ไก่สด คละ,320,บาท/ร้อยฟอง
5,2565,5,ประเทศไทย,ไข่ไก่,ไข่ไก่สด คละ,327,บาท/ร้อยฟอง
6,2565,6,ประเทศไทย,ไข่ไก่,ไข่ไก่สด คละ,328,บาท/ร้อยฟอง
7,2565,7,ประเทศไทย,ไข่ไก่,ไข่ไก่สด คละ,329,บาท/ร้อยฟอง
8,2565,8,ประเทศไทย,ไข่ไก่,ไข่ไก่สด คละ,341,บาท/ร้อยฟอง
9,2565,9,ประเทศไทย,ไข่ไก่,ไข่ไก่สด คละ,345,บาท/ร้อยฟอง
10,2565,10,ประเทศไทย,ไข่ไก่,ไข่ไก่สด คละ,346,บาท/ร้อยฟอง
11,2565,11,ประเทศไทย,ไข่ไก่,ไข่ไก่สด คละ,349,บาท/ร้อยฟอง
12,2565,12,ประเทศไทย,ไข่ไก่,ไข่ไก่สด คละ,343,บาท/ร้อยฟอง
13,2566,1,ประเทศไทย,ไข่ไก่,ไข่ไก่สด คละ,346,บาท/ร้อยฟอง
14,2566,2,ประเทศไทย,ไข่ไก่,ไข่ไก่สด คละ,335,บาท/ร้อยฟอง
15,2566,3,ประเทศไทย,ไข่ไก่,ไข่ไก่สด คละ,334,บาท/ร้อยฟอง
16,2566,4,ประเทศไทย,ไข่ไก่,ไข่ไก่สด คละ,343,บาท/ร้อยฟอง
17,2566,5,ประเทศไทย,ไข่ไก่,ไข่ไก่สด คละ,349,บาท/ร้อยฟอง
18,2566,6,ประเทศไทย,ไข่ไก่,ไข่ไก่สด คละ,355,บาท/ร้อยฟอง
19,2566,7,ประเทศไทย,ไข่ไก่,ไข่ไก่สด คละ,358,บาท/ร้อยฟอง
20,2566,8,ประเทศไทย,ไข่ไก่,ไข่ไก่สด คละ,367,บาท/ร้อยฟอง
21,2566,9,ประเทศไทย,ไข่ไก่,ไข่ไก่สด คละ,368,บาท/ร้อยฟอง
22,2566,10,ประเทศไทย,ไข่ไก่,ไข่ไก่สด คละ,370,บาท/ร้อยฟอง
23,2566,11,ประเทศไทย,ไข่ไก่,ไข่ไก่สด คละ,373,บาท/ร้อยฟอง
24,2566,12,ประเทศไทย,ไข่ไก่,ไข่ไก่สด คละ,375,บาท/ร้อยฟอง
25,2567,1,ประเทศไทย,ไข่ไก่,ไข่ไก่สด คละ,362,บาท/ร้อยฟอง
26,2567,2,ประเทศไทย,ไข่ไก่,ไข่ไก่สด คละ,356,บาท/ร้อยฟอง
27,2567,3,ประเทศไทย,ไข่ไก่,ไข่ไก่สด คละ,350,บาท/ร้อยฟอง
28,2567,4,ประเทศไทย,ไข่ไก่,ไข่ไก่สด คละ,347,บาท/ร้อยฟอง
29,2567,5,ประเทศไทย,ไข่ไก่,ไข่ไก่สด คละ,363,บาท/ร้อยฟอง
30,2567,6,ประเทศไทย,ไข่ไก่,ไข่ไก่สด คละ,374,บาท/ร้อยฟอง
31,2567,7,ประเทศไทย,ไข่ไก่,ไข่ไก่สด คละ,379,บาท/ร้อยฟอง
32,2567,8,ประเทศไทย,ไข่ไก่,ไข่ไก่สด คละ,379,บาท/ร้อยฟอง
33,2567,9,ประเทศไทย,ไข่ไก่,ไข่ไก่สด คละ,379,บาท/ร้อยฟอง
34,2567,10,ประเทศไทย,ไข่ไก่,ไข่ไก่สด คละ,378,บาท/ร้อยฟอง
35,2567,11,ประเทศไทย,ไข่ไก่,ไข่ไก่สด คละ,369,บาท/ร้อยฟอง
36,2567,12,ประเทศไทย,ไข่ไก่,ไข่ไก่สด คละ,362,บาท/ร้อยฟอง
37,2568,1,ประเทศไทย,ไข่ไก่,ไข่ไก่สด คละ,357,บาท/ร้อยฟอง
38,2568,2,ประเทศไทย,ไข่ไก่,ไข่ไก่สด คละ,350,บาท/ร้อยฟอง
39,2568,3,ประเทศไทย,ไข่ไก่,ไข่ไก่สด คละ,340,บาท/ร้อยฟอง
40,2568,4,ประเทศไทย,ไข่ไก่,ไข่ไก่สด คละ,338,บาท/ร้อยฟอง
41,2568,5,ประเทศไทย,ไข่ไก่,ไข่ไก่สด คละ,348,บาท/ร้อยฟอง
42,2568,6,ประเทศไทย,ไข่ไก่,ไข่ไก่สด คละ,348,บาท/ร้อยฟอง
43,2568,7,ประเทศไทย,ไข่ไก่,ไข่ไก่สด คละ,347,บาท/ร้อยฟอง
44,2568,8,ประเทศไทย,ไข่ไก่,ไข่ไก่สด คละ,347,บาท/ร้อยฟอง
