_id,year,month,regional_name,commod,product_name,Value,unit
1,2565,1,ประเทศไทย,สุกร,สุกรพันธุ์ผสม (น้ำหนัก 100 กก. ขึ้นไป),100.54,บาท/กก.
2,2565,2,ประเทศไทย,สุกร,สุกรพันธุ์ผสม (น้ำหนัก 100 กก. ขึ้นไป),92.73,บาท/กก.
3,2565,3,ประเทศไทย,สุกร,สุกรพันธุ์ผสม (น้ำหนัก 100 กก. ขึ้นไป),87.86,บาท/กก.
4,2565,4,ประเทศไทย,สุกร,สุกรพันธุ์ผสม (น้ำหนัก 100 กก. ขึ้นไป),90.63,บาท/กก.
5,2565,5,ประเทศไทย,สุกร,สุกรพันธุ์ผสม (น้ำหนัก 100 กก. ขึ้นไป),97.34,บาท/กก.
6,2565,6,ประเทศไทย,สุกร,สุกรพันธุ์ผสม (น้ำหนัก 100 กก. ขึ้นไป),101.37,บาท/กก.
7,2565,7,ประเทศไทย,สุกร,สุกรพันธุ์ผสม (น้ำหนัก 100 กก. ขึ้นไป),103.12,บาท/กก.
8,2565,8,ประเทศไทย,สุกร,สุกรพันธุ์ผสม (น้ำหนัก 100 กก. ขึ้นไป),104.15,บาท/กก.
9,2565,9,ประเทศไทย,สุกร,สุกรพันธุ์ผสม (น้ำหนัก 100 กก. ขึ้นไป),104.67,บาท/กก.
10,2565,10,ประเทศไทย,สุกร,สุกรพันธุ์ผสม (น้ำหนัก 100 กก. ขึ้นไป),103.93,บาท/กก.
11,2565,11,ประเทศไทย,สุกร,สุกรพันธุ์ผสม (น้ำหนัก 100 กก. ขึ้นไป),104.83,บาท/กก.
12,2565,12,ประเทศไทย,สุกร,สุกรพันธุ์ผสม (น้ำหนัก 100 กก. ขึ้นไป),102.36,บาท/กก.
13,2566,1,ประเทศไทย,สุกร,สุกรพันธุ์ผสม (น้ำหนัก 100 กก. ขึ้นไป),100.52,บาท/กก.
14,2566,2,ประเทศไทย,สุกร,สุกรพันธุ์ผสม (น้ำหนัก 100 กก. ขึ้นไป),93.88,บาท/กก.
15,2566,3,ประเทศไทย,สุกร,สุกรพันธุ์ผสม (น้ำหนัก 100 กก. ขึ้นไป),87.75,บาท/กก.
16,2566,4,ประเทศไทย,สุกร,สุกรพันธุ์ผสม (น้ำหนัก 100 กก. ขึ้นไป),86.72,บาท/กก.
17,2566,5,ประเทศไทย,สุกร,สุกรพันธุ์ผสม (น้ำหนัก 100 กก. ขึ้นไป),81.25,บาท/กก.
18,2566,6,ประเทศไทย,สุกร,สุกรพันธุ์ผสม (น้ำหนัก 100 กก. ขึ้นไป),79.09,บาท/กก.
19,2566,7,ประเทศไทย,สุกร,สุกรพันธุ์ผสม (น้ำหนัก 100 กก. ขึ้นไป),72.73,บาท/กก.
20,2566,8,ประเทศไทย,สุกร,สุกรพันธุ์ผสม (น้ำหนัก 100 กก. ขึ้นไป),69.49,บาท/กก.
21,2566,9,ประเทศไทย,สุกร,สุกรพันธุ์ผสม (น้ำหนัก 100 กก. ขึ้นไป),68.7,บาท/กก.
22,2566,10,ประเทศไทย,สุกร,สุกรพันธุ์ผสม (น้ำหนัก 100 กก. ขึ้นไป),64.25,บาท/กก.
23,2566,11,ประเทศไทย,สุกร,สุกรพันธุ์ผสม (น้ำหนัก 100 กก. ขึ้นไป),64.68,บาท/กก.
24,2566,12,ประเทศไทย,สุกร,สุกรพันธุ์ผสม (น้ำหนัก 100 กก. ขึ้นไป),66.27,บาท/กก.
25,2567,1,ประเทศไทย,สุกร,สุกรพันธุ์ผสม (น้ำหนัก 100 กก. ขึ้นไป),67.57,บาท/กก.
26,2567,2,ประเทศไทย,สุกร,สุกรพันธุ์ผสม (น้ำหนัก 100 กก. ขึ้นไป),67.22,บาท/กก.
27,2567,3,ประเทศไทย,สุกร,สุกรพันธุ์ผสม (น้ำหนัก 100 กก. ขึ้นไป),64.06,บาท/กก.
28,2567,4,ประเทศไทย,สุกร,สุกรพันธุ์ผสม (น้ำหนัก 100 กก. ขึ้นไป),65.58,บาท/กก.
29,2567,5,ประเทศไทย,สุกร,สุกรพันธุ์ผสม (น้ำหนัก 100 กก. ขึ้นไป),70.67,บาท/กก.
30,2567,6,ประเทศไทย,สุกร,สุกรพันธุ์ผสม (น้ำหนัก 100 กก. ขึ้นไป),69.08,บาท/กก.
31,2567,7,ประเทศไทย,สุกร,สุกรพันธุ์ผสม (น้ำหนัก 100 กก. ขึ้นไป),69.16,บาท/กก.
32,2567,8,ประเทศไทย,สุกร,สุกรพันธุ์ผสม (น้ำหนัก 100 กก. ขึ้นไป),70.15,บาท/กก.
33,2567,9,ประเทศไทย,สุกร,สุกรพันธุ์ผสม (น้ำหนัก 100 กก. ขึ้นไป),71.24,บาท/กก.
34,2567,10,ประเทศไทย,สุกร,สุกรพันธุ์ผสม (น้ำหนัก 100 กก. ขึ้นไป),70.55,บาท/กก.
35,2567,11,ประเทศไทย,สุกร,สุกรพันธุ์ผสม (น้ำหนัก 100 กก. ขึ้นไป),70.57,บาท/กก.
36,2567,12,ประเทศไทย,สุกร,สุกรพันธุ์ผสม (น้ำหนัก 100 กก. ขึ้นไป),71.09,บาท/กก.
37,2568,1,ประเทศไทย,สุกร,สุกรพันธุ์ผสม (น้ำหนัก 100 กก. ขึ้นไป),71.82,บาท/กก.
38,2568,2,ประเทศไทย,สุกร,สุกรพันธุ์ผสม (น้ำหนัก 100 กก. ขึ้นไป),73.38,บาท/กก.
39,2568,3,ประเทศไทย,สุกร,สุกรพันธุ์ผสม (น้ำหนัก 100 กก. ขึ้นไป),76.35,บาท/กก.
40,2568,4,ประเทศไทย,สุกร,สุกรพันธุ์ผสม (น้ำหนัก 100 กก. ขึ้นไป),82.36,บาท/กก.
41,2568,5,ประเทศไทย,สุกร,สุกรพันธุ์ผสม (น้ำหนัก 100 กก. ขึ้นไป),84.59,บาท/กก.
42,2568,6,ประเทศไทย,สุกร,สุกรพันธุ์ผสม (น้ำหนัก 100 กก. ขึ้นไป),83.62,บาท/กก.
43,2568,7,ประเทศไทย,สุกร,สุกรพันธุ์ผสม (น้ำหนัก 100 กก. ขึ้นไป),79.53,บาท/กก.
44,2568,8,ประเทศไทย,สุกร,สุกรพันธุ์ผสม (น้ำหนัก 100 กก. ขึ้นไป),73.61,บาท/กก.
