_id,year,month,regional_name,commod,product_name,value,unit
1,2565,1,ประเทศไทย,กุ้งขาวแวนนาไม,กุ้งขาวแวนนาไม (ขนาด 70 ตัว/กก.),178,บาท/กก.
2,2565,2,ประเทศไทย,กุ้งขาวแวนนาไม,กุ้งขาวแวนนาไม (ขนาด 70 ตัว/กก.),178,บาท/กก.
3,2565,3,ประเทศไทย,กุ้งขาวแวนนาไม,กุ้งขาวแวนนาไม (ขนาด 70 ตัว/กก.),166,บาท/กก.
4,2565,4,ประเทศไทย,กุ้งขาวแวนนาไม,กุ้งขาวแวนนาไม (ขนาด 70 ตัว/กก.),152,บาท/กก.
5,2565,5,ประเทศไทย,กุ้งขาวแวนนาไม,กุ้งขาวแวนนาไม (ขนาด 70 ตัว/กก.),148,บาท/กก.
6,2565,6,ประเทศไทย,กุ้งขาวแวนนาไม,กุ้งขาวแวนนาไม (ขนาด 70 ตัว/กก.),148,บาท/กก.
7,2565,7,ประเทศไทย,กุ้งขาวแวนนาไม,กุ้งขาวแวนนาไม (ขนาด 70 ตัว/กก.),150,บาท/กก.
8,2565,8,ประเทศไทย,กุ้งขาวแวนนาไม,กุ้งขาวแวนนาไม (ขนาด 70 ตัว/กก.),142,บาท/กก.
9,2565,9,ประเทศไทย,กุ้งขาวแวนนาไม,กุ้งขาวแวนนาไม (ขนาด 70 ตัว/กก.),138,บาท/กก.
10,2565,10,ประเทศไทย,กุ้งขาวแวนนาไม,กุ้งขาวแวนนาไม (ขนาด 70 ตัว/กก.),131,บาท/กก.
11,2565,11,ประเทศไทย,กุ้งขาวแวนนาไม,กุ้งขาวแวนนาไม (ขนาด 70 ตัว/กก.),146,บาท/กก.
12,2565,12,ประเทศไทย,กุ้งขาวแวนนาไม,กุ้งขาวแวนนาไม (ขนาด 70 ตัว/กก.),150,บาท/กก.
13,2566,1,ประเทศไทย,กุ้งขาวแวนนาไม,กุ้งขาวแวนนาไม (ขนาด 70 ตัว/กก.),164,บาท/กก.
14,2566,2,ประเทศไทย,กุ้งขาวแวนนาไม,กุ้งขาวแวนนาไม (ขนาด 70 ตัว/กก.),159,บาท/กก.
15,2566,3,ประเทศไทย,กุ้งขาวแวนนาไม,กุ้งขาวแวนนาไม (ขนาด 70 ตัว/กก.),144,บาท/กก.
16,2566,4,ประเทศไทย,กุ้งขาวแวนนาไม,กุ้งขาวแวนนาไม (ขนาด 70 ตัว/กก.),133,บาท/กก.
17,2566,5,ประเทศไทย,กุ้งขาวแวนนาไม,กุ้งขาวแวนนาไม (ขนาด 70 ตัว/กก.),126,บาท/กก.
18,2566,6,ประเทศไทย,กุ้งขาวแวนนาไม,กุ้งขาวแวนนาไม (ขนาด 70 ตัว/กก.),120,บาท/กก.
